Matlab,Python
0+0i,0
0.1+0i,0.1
0.2+0i,0.2
0.3+0i,0.3
0.4+0i,0.4
0.5+0i,0.5
0.6+0i,0.6
0.7+0i,0.7
0.8+0i,0.8
0.9+0i,0.9
1+0i,1
1+0i,1
0.62643713127384+0i,0.626437131
1+0i,1
0.608288939279273+0i,0.608288939
1+0i,1
0.0505613137048099+0i,0.050561314
0.821763720620328+0i,0.821763721
0.655439025653779+0i,0.655439026
1+0i,1
1+0i,1
15+0i,15
16+0i,16
17+0i,17
18+0i,18
0.208497723915236+0.0354271776587145i,0.20849772391524138+0.035427177658714615j
0.208497015765259+0.0354256247198772i,0.2084970157652535+0.035425624719876675j
0.257635519550911-0.0254536167570282i,0.2576355195509169-0.02545361675702916j
0.257636184312302-0.0254537426138311i,0.2576361843122956-0.025453742613829575j
0.211486136176101+0i,0.211486136
0.211485177896259+0i,0.211485178
0.258889836687888+0i,0.258889837
0.258890510602558+0i,0.258890511
15+0i,15
16+0i,16
17+0i,17
18+0i,18
0.226090586728356+0.0361063813840266i,0.22609058672835128+0.036106381384026394j
0.226091456389073+0.0361084219961323i,0.22609145638907868+0.0361084219961325j
0.244875569562243-0.0269227939784154i,0.24487556956223705-0.026922793978413746j
0.244874925746273-0.0269224534818846i,0.2448749257462791-0.02692245348188583j
0.228955506996056+0i,0.228955507
0.228956687587812+0i,0.228956688
0.246351134367262+0i,0.246351134
0.246350457196099+0i,0.246350457
3+0i,3
0.999999999999838+4.85457003171414e-31i,0.9999999999998925+2.2196591875124777e-31j
