Index,Percentage Difference (%),Matlab,Python
215,5.27552280739113e-08,(0.539155263+0j),(0.5391552627155675+0j)
216,4.4261176398277484e-08,(0.243307149+0j),(0.2433071491076906+0j)
218,0.0,(1+0j),(1+0j)
219,0.0,(2+0j),(2+0j)
220,0.0,(4+0j),(4+0j)
221,0.0,(5+0j),(5+0j)
222,0.0,(6+0j),(6+0j)
223,0.0,(7+0j),(7+0j)
226,7.015316631666471e-08,(0.477276155+0j),(0.4772761553348243+0j)
230,0.0,(1+0j),(1+0j)
231,0.0,(4+0j),(4+0j)
232,0.0,(5+0j),(5+0j)
233,0.0,(7+0j),(7+0j)
235,9.027369676385605e-08,(0.241800104+0j),(0.2418001037817181+0j)
236,4.602675247235714e-08,(1.087667903+0j),(1.0876679035006183+0j)
237,2.7167399746329715e-09,(0.346858369+0j),(0.34685836900942324+0j)
238,0.0,(1+0j),(1+0j)
239,0.0,(4+0j),(4+0j)
240,0.0,(5+0j),(5+0j)
241,0.0,(6+0j),(6+0j)
242,0.0,(7+0j),(7+0j)
246,6.27112024168537e-08,(0.31198988+0j),(0.3119898801956526+0j)
247,2.296264819345065e-08,(1.095885191+0j),(1.0958851907483558+0j)
248,0.0,(3+0j),(3+0j)
249,0.0,(6+0j),(6+0j)
250,2.1548172108172173e-08,(1.134055836+0j),(1.1340558362443682+0j)
252,0.0,(-590.8121922+0j),(-590.8121922+0j)
253,0.0,(-638.3747754+0j),(-638.3747754+0j)
254,0.0,(-408.2161569+0j),(-408.2161569+0j)
255,0.0,(-23.3706476+0j),(-23.3706476+0j)
256,3.084636100090049e-08,(-3.241873758+0j),(-3.241873759+0j)
257,0.0,(-6.058761709+0j),(-6.058761709+0j)
258,0.0,(-14.64949678+0j),(-14.64949678+0j)
259,0.0,(-31.61414496+0j),(-31.61414496+0j)
260,4.84020962453668e-09,(8131.075415+0j),(8131.075415393561+0j)
261,5.102365804030295e-10,(7667.228616+0j),(7667.228616039121+0j)
262,2.331149924283379e-09,(296.244651+0j),(296.24465099309407+0j)
263,4.756584462763974e-09,(36.59816431+0j),(36.59816430825918+0j)
264,2.7462364376563976e-08,(11.8372994+0j),(11.837299403250801+0j)
265,0.0,0j,0j
266,0.0,0j,0j
267,0.0,0j,0j
268,9.946383866844128e-10,(1294.100845+0j),(1294.1008450128716+0j)
269,4.774134657546156e-09,(1220.277334+0j),(1220.2773340582578+0j)
270,1.787629341506868e-10,(47.14880057+0j),(47.14880057008428+0j)
271,4.312182336450066e-09,(5.824778758+0j),(5.824778757748825+0j)
272,6.045336526428314e-09,(1.883964713+0j),(1.883964712886108+0j)
273,0.0,0j,0j
274,0.0,0j,0j
275,0.0,0j,0j
276,0.0,(0.07246996+0j),(0.07246996+0j)
277,0.0,(0.082973074+0j),(0.082973074+0j)
278,4.031606415505672e-08,(0.80933907+0j),(0.8093390703262937+0j)
279,6.37863836196038e-08,(0.538200985+0j),(0.5382009846567011+0j)
280,0.0,(0.264142533+0j),(0.264142533+0j)
281,0.0,(1+0j),(1+0j)
282,0.0,(1+0j),(1+0j)
283,0.0,(1+0j),(1+0j)
284,0.0,(8+0j),(8+0j)
285,0.0,(9+0j),(9+0j)
286,0.0,(10+0j),(10+0j)
287,0.0,(11+0j),(11+0j)
290,6.462823490366078e-10,(0.256760044+0j),(0.2567600440016594+0j)
291,5.222338960360633e-08,(0.256757063+0j),(0.25675706286591277+0j)
292,0.0,(8+0j),(8+0j)
293,0.0,(9+0j),(9+0j)
294,0.0,(10+0j),(10+0j)
295,0.0,(11+0j),(11+0j)
299,8.289804169542965e-08,(0.247543731+0j),(0.2475437312052089+0j)
300,0.0,(8+0j),(8+0j)
301,0.0,(9+0j),(9+0j)
302,0.0,(12+0j),(12+0j)
303,0.0,(13+0j),(13+0j)
