Matlab,Python
0.110260031441045 - 3.40382121929313e-17i,0.11026003147203008+3.007465973938476e-17j
0.243440625908649 + 2.09821565594708e-18i,0.2434406258994098-1.1927389525937298e-17j
1.05970603174555 + 1.45785081953501e-17i,1.059706031832264-3.314521453387268e-17j
-0.327360181412845 - 9.39180620821982e-18i,-0.3273601815035513+4.2825007376297646e-17j
0.110260031,0.11026003147203008
0.243440626,0.2434406258994098
1.059706032,1.059706031832264
0.327360181,0.3273601815035513
1,1
4,4
5,5
6,6
7,7
-0.106058775267336 - 4.52290009464534e-18i,-0.1060587752979414-1.214208626274016e-17j
-0.105178900321252 + 1.22038332847050e-17i,-0.10517890033924819+1.5506070065915748e-17j
-0.242192689424764 - 9.76190728488268e-18i,-0.24219268949121664-7.60018730008512e-20j
0.317604286913551 - 7.02599120941735e-19i,0.3176042869100817+1.8341998013997308e-17j
1.06715811930808 - 8.20160411590824e-18i,1.0671581194079107-5.4831277583382505e-17j
0.106058775,0.1060587752979414
0.1051789,0.10517890033924819
0.242192689,0.24219268949121664
0.317604287,0.3176042869100817
1.067158119,1.0671581194079107
3,3
6,6
1.13404778377895 + 4.63244099940874e-18i,1.1340477837845926+1.595762770743979e-17j
-0.131384004637866 + 2.89896738739299e-18i,-0.1313840046434227-4.177668427642977e-18j
1.134047784,1.1340477837845926
0.131384005,0.1313840046434227
-590.8089411,-590.8089411
-638.3784733,-638.3784733
-407.8688846,-407.8688846
-24.06357227,-24.06357227
-2.829921566,-2.829921566
-5.965552648,-5.965552648
-14.87441352,-14.87441352
-31.61414356,-31.61414356
8131.074453,8131.074453347716
7667.230206,7667.230206
296.1123092,296.11230916696377
34.13338833,34.13338832752114
11.60713953,11.607139525632228
0,0
0,0
0,0
1294.100692,1294.100692
1220.277587,1220.2775870403475
47.12773771,47.127737714277835
5.432497477,5.432497476800192
1.847333631,1.8473336306616863
0,0
0,0
0,0
0.072469572,0.072469572
0.082973534,0.082973534
0.809226186,0.8092261860057688
0.576194312,0.5761943115808216
0.236870219,0.2368702188845389
1,1
1,1
1,1
8,8
9,9
10,10
11,11
0.184675760411375 + 0.0313765510145332i,0.1846757604113779+0.03137655101452531j
0.184664658859609 + 0.0313555573979428i,0.1846646588596056+0.03135555739795085j
0.256080924766976 - 0.0186590782417982i,0.25608092476697686-0.018659078241809183j
0.256077008804242 - 0.0186791337093731i,0.25607700880424056-0.018679133709361556j
0.187322248,0.18732224757643648
0.187307787,0.18730778737540707
0.256759812,0.2567598123350771
0.256757365,0.25675736498542606
8,8
9,9
10,10
11,11
0.200411792568103 + 0.0325870106550362i,0.20041179256810013+0.03258701065504529j
0.200424874512456 + 0.0326103265171787i,0.20042487451245836+0.032610326517169816j
0.246708938686148 - 0.0202796461914123i,0.24670893868614682-0.020279646191400026j
